sp,page_no_book,eq_no_book,,eq_type,eq_ty_n,level,state,region,eq_typ,eq,eq_transformed,equation,"V = f(D=1,H=10))",a,b,c,d,n,r_squared,remarks,eq_extra,dia_>,dia_<
Boswellia serrata,51,157,1-157,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,51,158,1-158,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,159,1-159,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,160,1-160,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,161,1-161,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,162,1-162,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,163,1-163,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,164,1-164,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,165,1-165,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,166,1-166,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,52,167,1-167,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,53,168,1-168,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,53,169,1-169,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,53,170,1-170,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,53,171,1-171,,,,,,,,,,,,,,,,,,,,
Bridelia retusa,54,172,1-172,G,8,multi_district,Assam,"North cachar hills. Nowgong and Karbi Anglong. The general volume equation was also used in the 15 districts of Assam, for Cassia fistula in Nowgong and Karbi Anglong and North Cachar hills and also used for Lagerstroemia Parviflora, Lagerstroemia flosreginae for Nowgong and Karbi Anglong.",G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.000000312+0.01409*(D^2)*H)*((D^2)*H) ,1.409,0.000000312,0.01409,,,,,converted diameter from cm to m,,,
Bridelia retusa,54,172,1-172,L,2,multi_district,Assam,"North cachar hills. Nowgong and Karbi Anglong. The general volume equation was also used in the 15 districts of Assam, for Cassia fistula in Nowgong and Karbi Anglong and North Cachar hills and also used for Lagerstroemia Parviflora, Lagerstroemia flosreginae for Nowgong and Karbi Anglong.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.14451-0.00013827*D+0.00000010286*D^2 ,0.144,0.14451,-0.00013827,1.03E-07,,,,converted diameter from cm to m,,,
Bridelia retusa,54,173,1-173,L,2,multi_district,Assam,Assam survey (15 districts),L2,V=a+b*D+c*D^2,a+b*D+c*D^2,#NAME?,4.036,-0.00021,0.06175,3.97424,,33,0.92939,,,,
Bridelia retusa,54,174,1-174,G,1,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam districts).",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.383012-0.003872*(D^2)*H ,0.344,0.383012,-0.003872,,,,,,,,
Bridelia retusa,54,174,1-174,L,12,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam districts).",L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-0.839708+0.035142/D+8.157614*D)*D ,7.353,-0.839708,0.035142,8.157614,0,165,0.8902,,,,
Bridelia retusa,54,175,1-175,G,7,district,Orissa,Koraput district.,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(0.794669+2.315417*log(D)+0.534416*log(H)) ,3.778,0.794669,2.315417,0.534416,,58,0.99128,,,,
Bridelia retusa,54,175,1-175,L,6,multi_district,Orissa,"Koraput district. The local volume equation was also used for Sambalpur, Mayurbhanj and Balasore districts.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.1162+4.12711*D-1.085085*sqrt(D))^2 ,9.974,0.1162,4.12711,-1.085085,,81,0.9907,,,,
Buchanania angustifolia,55,176,1-176,,,,,,,,,,,,,,,,,,,,
Buchanania angustifolia,55,177,1-177,,,,,,,,,,,,,,,,,,,,
Buchanania angustifolia,55,178,1-178,,,,,,,,,,,,,,,,,,,,
Bucbanania latifolia,56,179,1-179,,,,,,,,,,,,,,,,,,,,
Bucbanania latifolia,56,180,1-180,,,,,,,,,,,,,,,,,,,,
Bucbanania latifolia,56,181,1-181,,,,,,,,,,,,,,,,,,,,
Bucbanania latifolia,57,182,1-182,,,,,,,,,,,,,,,,,,,,
Callicarpa species,57,183,1-183,,,,,,,,,,,,,,,,,,,,
Calophyllum inophyllum,58,184,1-184,,,,,,,,,,,,,,,,,,,,
Calophyllum inophyllum,58,185,1-185,,,,,,,,,,,,,,,,,,,,
Canarium euphyllum,59,186,1-186,,,,,,,,,,,,,,,,,,,,
Canarium euphyllum,59,187,1-187,,,,,,,,,,,,,,,,,,,,
Canarium euphyllum,59,188,1-188,,,,,,,,,,,,,,,,,,,,
Canarium strictum,59,189,1-189,,,,,,,,,,,,,,,,,,,,
Canarium strictum,59,190,1-190,,,,,,,,,,,,,,,,,,,,
Canarium strictum,59,191,1-191,,,,,,,,,,,,,,,,,,,,
Canarium species,60,192,1-192,,,,,,,,,,,,,,,,,,,,
Careya arborea,60,193,1-193,,,,,,,,,,,,,,,,,,,,
Careya arborea,60,194,1-194,,,,,,,,,,,,,,,,,,,,
Careya arborea,61,195,1-195,,,,,,,,,,,,,,,,,,,,
Casearia species,61,196,1-196,,,,,,,,,,,,,,,,,,,,
Cassia fistula,62,197,1-197,G,1,multi_state,FAO Project Area,Kerala and Tamilnadu. The general volume equation was also used for Vitex altissima for Kerala and Tamilnadu and for Anogeissus latifolia and Xylia xylocarpa for Kodagu district of Karnataka.,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.066+0.287*(D^2)*H ,2.936,0.066,0.287,,,,,,,,
Cassia siamea,62,198,1-198,,,,,,,,,,,,,,,,,,,,
Castanopsis hystrix,63,199,1-199,,,,,,,,,,,,,,,,,,,,
Castanopsis hystrix,63,200,1-200,,,,,,,,,,,,,,,,,,,,
Castanopsis indica,63,201,1-201,,,,,,,,,,,,,,,,,,,,
Castanopsis species,64,202,1-202,,,,,,,,,,,,,,,,,,,,
Castanopsis species,64,203,1-203,,,,,,,,,,,,,,,,,,,,
Castanopsis species,64,204,1-204,,,,,,,,,,,,,,,,,,,,
Castanopsis species,64,205,1-205,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,65,206,1-206,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,66,207,1-207,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,66,208,1-208,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,66,209,1-209,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,66,210,1-210,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,66,211,1-211,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,66,212,1-212,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,67,213,1-213,,,,,,,,,,,,,,,,,,,,
Cedrus deodara,67,214,1-214,,,,,,,,,,,,,,,,,,,,
Chloroxylon swietenia,67,215,1-215,,,,,,,,,,,,,,,,,,,,
Chloroxylon swietenia,68,216,1-216,,,,,,,,,,,,,,,,,,,,
Chickrassia tabularis,68,217,1-217,L,1,district,Arunachal Pradesh,Lohit,L1,V=a+b*D^2,a+b*D^2,#NAME?,9.155,-0.07559,9.23051,,,13,0.99962,,,,
Cinnamomum cecidodaphne,69,218,1-218,,,,,,,,,,,,,,,,,,,,
Cinnamomum cecidodaphne,69,219,1-219,,,,,,,,,,,,,,,,,,,,
Cinnamomum tamala,70,220,1-220,,,,,,,,,,,,,,,,,,,,
Cinnamomum zeylanicum,70,221,1-221,,,,,,,,,,,,,,,,,,,,
Cinnamomum zeylanicum,70,222,1-222,,,,,,,,,,,,,,,,,,,,
Cinnamomum species,71,223,1-223,,,,,,,,,,,,,,,,,,,,
Cinnamomum species,71,224,1-224,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,71,225,1-225,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,72,226,1-226,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,72,227,1-227,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,72,228,1-228,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,72,229,1-229,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,72,230,1-230,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,72,231,1-231,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,72,232,1-232,,,,,,,,,,,,,,,,,,,,
Cochlospermum gossypium,73,233,1-233,,,,,,,,,,,,,,,,,,,,
Cordia species,73,234,1-234,,,,,,,,,,,,,,,,,,,,
Cryptomeria japonica,74,235,1-235,,,,,,,,,,,,,,,,,,,,
Cryptomeria paniculata,75,236,1-236,,,,,,,,,,,,,,,,,,,,
Cupressus species,75,237,1-237,,,,,,,,,,,,,,,,,,,,
Cyclostemon assamicus,75,238,1-238,,,,,,,,,,,,,,,,,,,,
Dalbergia latifolia,76,239,1-239,G,8,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Khargone, Khandwa, Dewas, Jhabua, Dhar districts of M.P. and Nasik, Thane, Raigarh, Dhulia districts of Maharashtra.",G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.361865-0.00494*(D^2)*H)*(D^2)*H ,3.125,0.361865,-0.00494,,,70,0.1905,,,,
Dalbergia latifolia,76,239,1-239,L,5,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Khargone, Khandwa, Dewas, Jhabua, Dhar districts of M.P. and Nasik, Thane, Raigarh, Dhulia districts of Maharashtra.",L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.144504+2.943115*D)^2,7.832,-0.144504,2.943115,,,134,0.98069,,,,
Dalbergia latifolia,77,240,1-240,L,2,district,Karnataka,Kodagu district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.18945-2.46215*D+10.54462*D^2 ,8.272,0.18945,-2.46215,10.54462,,,,,,,
Dalbergia latifolia,77,241,1-241,G,6,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Dalbergia sissoo in Tarai region of U.P.- Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Basti, Bahraich, Gonda, Gorakhpur and Deoria districts.",G6,V=a+b*D+c*D^2+d*(D^2)*H,a+b*D+c*D^2+d*(D^2)*H,0.044221+2.328465*D^2+0.309150*(D^2)*H,5.464,0.044221,0,2.328465,0.30915,,,,,,
Dalbergia latifolia,77,242,1-242,G,4,district,Orissa,Koraput district.,G4,V=a+b*D+c*(D^2)*H+d*((D^2)*H)^2,a+b*D+c*(D^2)*H+d*((D^2)*H)^2,0.009238+0.376711*(D^2)*H+0.016492*((D^2)*H)^2 ,5.426,0.009238,0,0.376711,0.016492,39,0.991984,,,,
Dalbergia latifolia,77,242,1-242,L,9,district,Orissa,Koraput district.,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(-2.5605-0.0096/(D^2)+0.58546/D+24.34215*D)*(D^2) ,22.358,-2.5605,-0.0096,0.58546,24.34215,27,0.81141,,,,
Dalbergia latifolia,77,243,1-243,L,6,multi_district,Uttar Pradesh,"Tarai Region-Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Bahraich, Basti, Gorakhpur, Deoria districts and also for Dalbergia sissoo for these districts. The local volume equation was also used for Dalbergia sissoo for hill regions of U.P. -Almora, Nainital, Pithoragarh and parts of Chamoli, Dehradun, Garhwal and Tehri districts.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.3165+4.54751*D-1.46921*sqrt(D))^2 ,11.525,0.3165,4.54751,-1.46921,,99,0.9948,,,,
Dalbergia latifolia,77,244,1-244,G,1,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,2.91,-0.01,0.292,,,,,,,,
Dalbergia latifolia,77,244,1-244,L,2,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.265-3.135*D+12.771*D^2 ,9.901,0.265,-3.135,12.771,,,,,,,
Dalbergia sissoo,78,245,1-245,,,,,,,,,,,,,,,,,,,,
Dalbergia sissoo,79,246,1-246,,,,,,,,,,,,,,,,,,,,
Dalbergia species,79,247,1-247,,,,,,,,,,,,,,,,,,,,
Dillenia pentagyna,79,248,1-248,,,,,,,,,,,,,,,,,,,,
Dillenia pentagyna,79,249,1-249,,,,,,,,,,,,,,,,,,,,
Dillenia pentagyna,80,250,1-250,,,,,,,,,,,,,,,,,,,,
Dillenia pentagyna,80,251,1-251,,,,,,,,,,,,,,,,,,,,
Dillenia indica,81,252,1-252,,,,,,,,,,,,,,,,,,,,
Dillenia indica,81,253,1-253,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,82,254,1-254,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,82,255,1-255,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,82,256,1-256,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,82,257,1-257,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,82,258,1-258,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,259,1-259,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,260,1-260,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,261,1-261,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,262,1-262,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,263,1-263,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,264,1-264,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,265,1-265,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,83,266,1-266,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,84,267,1-267,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,84,268,1-268,,,,,,,,,,,,,,,,,,,,
Diploknema butyracea/Madhuca butyracea,84,269,1-269,,,,,,,,,,,,,,,,,,,,
Diploknema butyracea/Madhuca butyracea,84,270,1-270,,,,,,,,,,,,,,,,,,,,
Diospyros malabarica,85,271,1-271,,,,,,,,,,,,,,,,,,,,
Diospyros species,85,272,1-272,,,,,,,,,,,,,,,,,,,,
Dipterocarpus turbinatus,86,273,1-273,,,,,,,,,,,,,,,,,,,,
Dipterocarpus macrocarpus,86,274,1-274,,,,,,,,,,,,,,,,,,,,
Dipterocarpus species,86,275,1-275,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,86,276,1-276,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,87,277,1-277,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,87,278,1-278,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,87,279,1-279,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,87,280,1-280,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,88,281,1-281,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,88,282,1-282,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,88,283,1-283,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,88,284,1-284,,,,,,,,,,,,,,,,,,,,
Dysoxylum binectiferum,89,285,1-285,,,,,,,,,,,,,,,,,,,,
Dysoxylum binectiferum,89,286,1-286,,,,,,,,,,,,,,,,,,,,
Dysoxylum malabaricum,89,287,1-287,,,,,,,,,,,,,,,,,,,,
Dysoxylum malabaricum,89,288,1-288,,,,,,,,,,,,,,,,,,,,
Ehretia laevis,90,289,1-289,,,,,,,,,,,,,,,,,,,,
Elaeocarpus species,91,290,1-290,,,,,,,,,,,,,,,,,,,,
Emblica officinalis,91,291,1-291,,,,,,,,,,,,,,,,,,,,
Emblica officinalis,91,292,1-292,,,,,,,,,,,,,,,,,,,,
Emblica officinalis,91,293,1-293,,,,,,,,,,,,,,,,,,,,
Emblica officinalis,92,294,1-294,,,,,,,,,,,,,,,,,,,,
Emblica officinalis,92,295,1-295,,,,,,,,,,,,,,,,,,,,
Engelhardtia spicata,92,296,1-296,,,,,,,,,,,,,,,,,,,,
Engelhardtia spicata,92,297,1-297,,,,,,,,,,,,,,,,,,,,
Erythrina species,93,298,1-298,,,,,,,,,,,,,,,,,,,,
Eucalyptus species,93,299,1-299,,,,,,,,,,,,,,,,,,,,
Eucalyptus species,94,300,1-300,,,,,,,,,,,,,,,,,,,,
Eugenia cymosa,94,301,1-301,,,,,,,,,,,,,,,,,,,,
Eugenia species,94,302,1-302,,,,,,,,,,,,,,,,,,,,
Eugenia species,94,303,1-303,,,,,,,,,,,,,,,,,,,,
Euphoria longana,95,304,1-304,,,,,,,,,,,,,,,,,,,,
Ficus species,95,305,1-305,,,,,,,,,,,,,,,,,,,,
Garuga pinnata,96,306,1-306,L,2,multi_district,Assam,Assam survey (15 districts),L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.08486-1.28721*D+8.29412*D^2,7.092,0.08486,-1.28721,8.29412,,57,0.95299,,,,
Garuga pinnata,96,307,1-307,L,6,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Khargone, Khandwa, Dewas, Jhabua and Dhar districts of Madhya Pradesh, Dadra and Nagar Haveli and also for Dhulia, Nasik, Thane and Raigad districts of Maharashtra.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.0533434+3.53035*D-0.810548*sqrt(D))^2,7.69,0.0533434,3.53035,-0.810548,,150,0.94861,,,,
Garuga pinnata,96,308,1-308,G,1,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts).",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.889,-0.014212,0.390288,,,,,,,,
Garuga pinnata,96,308,1-308,L,12,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts).",L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-1.481043+0.077965/D+9.797028*D)*D,8.394,-1.481043,0.077965,9.797028,0,139,0.9453,,,,
Garuga pinnata,96,309,1-309,G,7,district,Orissa,Koraput district.,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(0.262489+2.277143 *log(D)+0.686807*log(H)),2.584,0.262489,2.277143,0.686807,,61,0.99236,,,,
Garuga pinnata,96,309,1-309,L,9,district,Orissa,Koraput district.,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(-5.53172-0.09144/(D^2)+1.48588/D-24.04851*D)*(D^2),-28.186,-5.53172,-0.09144,1.48588,-24.04851,77,0.89345,,,,
Garuga pinnata,97,310,1-310,G,1,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,2.558,-0.002,0.256,,,,,,,,
Garuga pinnata,97,310,1-310,L,2,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.034-0.901*D+6.898*D^2,6.031,0.034,-0.901,6.898,,,,,,,
Gmelina arborea,97,311,1-311,L,3,district,Arunachal Pradesh,Debang,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,#NAME?,41.048,-0.173,3.56208,12.20271,,59,0.97084,,,,
Gmelina arborea,97,312,1-312,L,2,district,Arunachal Pradesh,Tirap,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,#NAME?,4.798,-0.02688,0.7827,4.04195,,32,0.98366,,,,
Gmelina arborea,97,313,1-313,L,2,district,Arunachal Pradesh,Lohit,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.01156+0.21230*D+5.10448*D^2 ,5.328,0.01156,0.2123,5.10448,,27,0.96923,,,,
Gmelina arborea,98,314,1-314,L,3,multi_district,Assam,Assam survey (15 districts),L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.25058-3.55124*D+16.41720*D^2-8.32129*D^3,4.795,0.25058,-3.55124,16.4172,-8.32129,128,0.98699,,,,
Gmelina arborea,98,315,1-315,L,5,state,Tripura,Tripura Survey,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.00189+0.021003*D)^2,0,-0.00189,0.021003,,,,,Converted D unit from cm to m,,,
Grewia tiliaefolia,98,316,1-316,L,3,district,Andhra Pradesh,East Godavari,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,.018620+13.916741*D^3,13.935,0.01862,0,0,13.916741,37,0.92929,,,,
Grewia tiliaefolia,98,317,1-317,L,2,multi_district,Assam,Assam survey (15 districts),L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.05858-1.20414*D+9.80167*D^2,8.656,0.05858,-1.20414,9.80167,,116,0.96828,,,,
Grewia tiliaefolia,99,318,1-318,L,1,district,Karnataka,Kodagu district.,L1,V=a+b*D^2,a+b*D^2,#NAME?,4.892,-0.01611,4.9081,,,,,,,,
Grewia tiliaefolia,99,319,1-319,G,7,forest_division,Maharashtra,Melghat Forest Division,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(0.676394+2.409476*log(D)+0.596175*log(H)) ,3.57,0.676394,2.409476,0.596175,,95,0.9768,,,,
Grewia tiliaefolia,99,319,1-319,L,2,forest_division,Maharashtra,Melghat Forest Division,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.0418481-1.140567*D+9.817616*D^2 ,8.719,0.0418481,-1.140567,9.817616,,95,0.7155,,,,
Grewia tiliaefolia,99,320,1-320,G,1,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa. The general volume equation was also used for Grewia species in H.P., U.P. and Haryana.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.035,-0.035,0.307,,,52,0.909,,,,
Grewia tiliaefolia,99,320,1-320,L,2,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa. The general volume equation was also used for Grewia species in H.P., U.P. and Haryana.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.775-7.787*D+22.748*D^2 ,15.736,0.775,-7.787,22.748,,,,,,,
Grewia species,99,321,1-321,,,,,,,,,,,,,,,,,,,,
Hardwickia binata,100,322,1-322,,,,,,,,,,,,,,,,,,,,
Holarrhena antidysenterica,101,323,1-323,,,,,,,,,,,,,,,,,,,,
Hydnocarpus kurzii,101,324,1-324,,,,,,,,,,,,,,,,,,,,
Hymenodictyon excelsum,102,325,1-325,,,,,,,,,,,,,,,,,,,,
Juglans regia,102,326,1-326,,,,,,,,,,,,,,,,,,,,
Kydia calycina,103,327,1-327,G,5,multi_district,Arunachal Pradesh,East and West Kameng districts. %ese general and local volume equation were also used for Upper and Lower Subansiri districts.,G5,V=a+b*D+c*H+d*(D^2)*H,a+b*D+c*H+d*(D^2)*H,#NAME?,-0.208,-0.49425,0,0.0286,0.0000276,,,Converted D unit from cm to m,,,5cm
Kydia calycina,103,327,1-327,L,4,multi_district,Arunachal Pradesh,East and West Kameng districts. %ese general and local volume equation were also used for Upper and Lower Subansiri districts.,L4,V=a+b*sqrt(D)+c*D^2,a+b*sqrt(D)+c*D^2,0.72892-0.025727*sqrt(D)+0.00000015117*D^2 ,0.703,0.72892,-0.025727,1.51E-07,,48,0.935,Converted D unit from cm to m,,,5cm
Kydia calycina,103,328,1-328,G,5,multi_district,Arunachal Pradesh,"Kameng and Subansiri
district",G5,V=a+b*D+c*H+d*(D^2)*H,a+b*D+c*H+d*(D^2)*H,0.1239-0.0316*H+0.0000000034*(D^2)*H ,-0.192,0.1239,0,-0.0316,3.40E-09,,,Converted D unit from cm to m,,,30cm UB
Kydia calycina,103,328,1-328,L,1,multi_district,Arunachal Pradesh,"Kameng and Subansiri
district",L1,V=a+b*D^2,a+b*D^2,0.96221+0.00000011095*D^2 ,0.962,0.96221,1.11E-07,,,,,Converted D unit from cm to m,,,30cm UB
Kydia calycina,103,329,1-329,L,5,district,Arunachal Pradesh,Lohit,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.02297+2.68423*D)^2 ,7.082,-0.02297,2.68423,,,53,0.98825,,,,
Kydia calycina,103,330,1-330,L,6,district,Arunachal Pradesh,Tirap,L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(-0.04241+1.31895*D+0.65065*sqrt(D))^2 ,3.714,-0.04241,1.31895,0.65065,,45,0.93177,,,,
Lagerstroemia lanceolata,104,331,1-331,L,5,state,Goa,Goa survey. The local volume equations were also used for the rest of species.,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.238101+2.9997947*D)^2 ,7.627,-0.238101,2.9997947,,,,,,,,20cm
Lagerstroemia lanceolata,104,331,1-331,L,5,state,Goa,Goa survey. The local volume equations were also used for the rest of species.,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.054867+2.968427*D)^2 ,8.489,-0.054867,2.968427,,,,,,,,5cm
Lagerstroemia lanceolata,104,332,1-332,L,2,district,Karnataka,Kodagu district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.23839-2.48071*D+10.14106*D^2 ,7.899,0.23839,-2.48071,10.14106,,,,,,,
Lagerstroemia parviflora,105,333,1-333,L,3,district,Arunachal Pradesh,Lohit,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,#NAME?,145.795,-1.25621,24.09007,-135.30588,258.26669,9,0.9477,,,,
Lagerstroemia parviflora,105,334,1-334,L,2,multi_district,Andhra Pradesh,Adilabad and East Godavari districts,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.066188-1.334512*D+9.403257 *D^2 ,8.135,0.066188,-1.334512,9.403257,,119,0.9785,,,,
Lagerstroemia parviflora,105,335,1-335,L,3,district,Andhra Pradesh,East Godavari,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,.711565-9.9435*D+417245*D^2-37.1728*D^3 ,417198.595,0.711565,-9.9435,417245,-37.1728,29,0.9545,,,,
Lagerstroemia parviflora,105,336,1-336,G,1,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli and for Khargone, Khandwa, Dewas, Jhabua Indore and Dhar districts of M.P. The general volume equation was used for Mewasi Forest Division, Dhulia, Nasik, Thane and Raigarh districts of Maharashtra and also for Dadra and Nagar Haveli.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.978,-0.00867,0.398711,,,64,0.9822,,,,
Lagerstroemia parviflora,105,336,1-336,L,6,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli and for Khargone, Khandwa, Dewas, Jhabua Indore and Dhar districts of M.P. The general volume equation was used for Mewasi Forest Division, Dhulia, Nasik, Thane and Raigarh districts of Maharashtra and also for Dadra and Nagar Haveli.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.021366+3.668008*D-0.718475*sqrt(D))^2 ,8.826,0.021366,3.668008,-0.718475,,115,0.98575,,,,
